import time: self [us] | cumulative | imported package
import time:       257 |       2068 |           anthropic.types.text_block
import time:       290 |        290 |           anthropic.types.thinking_block
import time:       263 |        263 |             anthropic.types.direct_caller
import time:       159 |        159 |             anthropic.types.server_tool_caller
import time:       157 |        157 |             anthropic.types.server_tool_caller_20260120
import time:       329 |        906 |           anthropic.types.tool_use_block
import time:       222 |        222 |           anthropic.types.server_tool_use_block
import time:       289 |        289 |           anthropic.types.container_upload_block
import time:       235 |        235 |           anthropic.types.redacted_thinking_block
import time:       167 |        167 |                 anthropic.types.citations_config
import time:       235 |        235 |                 anthropic.types.base64_pdf_source
import time:       230 |        230 |                 anthropic.types.plain_text_source
import time:       211 |        843 |               anthropic.types.document_block
import time:       269 |       1111 |             anthropic.types.web_fetch_block
import time:        95 |         95 |               anthropic.types.web_fetch_tool_result_error_code
import time:       166 |        260 |             anthropic.types.web_fetch_tool_result_error_block
import time:       360 |       1730 |           anthropic.types.web_fetch_tool_result_block
import time:       173 |        173 |               anthropic.types.web_search_result_block
import time:        85 |         85 |                 anthropic.types.web_search_tool_result_error_code
import time:       149 |        233 |               anthropic.types.web_search_tool_result_error
import time:        97 |        503 |             anthropic.types.web_search_tool_result_block_content
import time:       363 |        865 |           anthropic.types.web_search_tool_result_block
import time:        81 |         81 |               anthropic.types.tool_search_tool_result_error_code
import time:       194 |        275 |             anthropic.types.tool_search_tool_result_error
import time:       241 |        241 |               anthropic.types.tool_reference_block
import time:       166 |        407 |             anthropic.types.tool_search_tool_search_result_block
import time:       253 |        934 |           anthropic.types.tool_search_tool_result_block
import time:       154 |        154 |                 anthropic.types.code_execution_output_block
import time:       177 |        330 |               anthropic.types.code_execution_result_block
import time:        73 |         73 |                 anthropic.types.code_execution_tool_result_error_code
import time:       154 |        227 |               anthropic.types.code_execution_tool_result_error
import time:       175 |        175 |               anthropic.types.encrypted_code_execution_result_block
import time:        98 |        829 |             anthropic.types.code_execution_tool_result_block_content
import time:       289 |       1117 |           anthropic.types.code_execution_tool_result_block
import time:       498 |        498 |               anthropic.types.bash_code_execution_output_block
import time:       323 |        821 |             anthropic.types.bash_code_execution_result_block
import time:        76 |         76 |               anthropic.types.bash_code_execution_tool_result_error_code
import time:       187 |        262 |             anthropic.types.bash_code_execution_tool_result_error
import time:       275 |       1357 |           anthropic.types.bash_code_execution_tool_result_block
import time:       738 |        738 |               anthropic.types.text_editor_code_execution_tool_result_error_code
import time:       291 |       1028 |             anthropic.types.text_editor_code_execution_tool_result_error
import time:       204 |        204 |             anthropic.types.text_editor_code_execution_view_result_block
import time:       175 |        175 |             anthropic.types.text_editor_code_execution_create_result_block
import time:       222 |        222 |             anthropic.types.text_editor_code_execution_str_replace_result_block
import time:       321 |       1948 |           anthropic.types.text_editor_code_execution_tool_result_block
import time:       236 |      12192 |         anthropic.types.content_block
import time:       304 |        304 |         anthropic.types.refusal_stop_details
import time:       439 |      13487 |       anthropic.types.message
import time:       249 |        249 |         anthropic.types.beta_api_error
import time:       391 |        391 |         anthropic.types.beta_billing_error
import time:       131 |        131 |         anthropic.types.beta_not_found_error
import time:       137 |        137 |         anthropic.types.beta_overloaded_error
import time:       121 |        121 |         anthropic.types.beta_permission_error
import time:       129 |        129 |         anthropic.types.beta_rate_limit_error
import time:       122 |        122 |         anthropic.types.beta_authentication_error
import time:       125 |        125 |         anthropic.types.beta_gateway_timeout_error
import time:       121 |        121 |         anthropic.types.beta_invalid_request_error
import time:       354 |       1877 |       anthropic.types.beta_error
import time:       250 |        250 |       anthropic.types.completion
import time:       128 |        128 |             anthropic.types.capability_support
import time:       295 |        423 |           anthropic.types.effort_capability
import time:       135 |        135 |             anthropic.types.thinking_types
import time:       168 |        303 |           anthropic.types.thinking_capability
import time:       157 |        157 |           anthropic.types.context_management_capability
import time:       271 |       1152 |         anthropic.types.model_capabilities
import time:       247 |       1398 |       anthropic.types.model_info
import time:       144 |        144 |       anthropic.types.text_delta
import time:       112 |        112 |         anthropic.types.cache_control_ephemeral_param
import time:       184 |        296 |       anthropic.types.tool_param
import time:       181 |        181 |       anthropic.types.model_param
import time:       108 |        108 |             anthropic.types.citation_char_location_param
import time:       102 |        102 |             anthropic.types.citation_page_location_param
import time:       101 |        101 |             anthropic.types.citation_content_block_location_param
import time:       101 |        101 |             anthropic.types.citation_search_result_location_param
import time:        94 |         94 |             anthropic.types.citation_web_search_result_location_param
import time:        93 |        596 |           anthropic.types.text_citation_param
import time:        99 |        695 |         anthropic.types.text_block_param
import time:       135 |        135 |           anthropic.types.url_image_source_param
import time:       100 |        100 |           anthropic.types.base64_image_source_param
import time:       101 |        335 |         anthropic.types.image_block_param
import time:       180 |        180 |           anthropic.types.url_pdf_source_param
import time:        73 |         73 |           anthropic.types.citations_config_param
import time:       220 |        220 |           anthropic.types.base64_pdf_source_param
import time:       155 |        155 |           anthropic.types.plain_text_source_param
import time:        78 |         78 |             anthropic.types.content_block_source_content_param
import time:        97 |        174 |           anthropic.types.content_block_source_param
import time:       167 |        966 |         anthropic.types.document_block_param
import time:        89 |         89 |         anthropic.types.thinking_block_param
import time:        77 |         77 |           anthropic.types.direct_caller_param
import time:       200 |        200 |           anthropic.types.server_tool_caller_param
import time:       450 |        450 |           anthropic.types.server_tool_caller_20260120_param
import time:       142 |        868 |         anthropic.types.tool_use_block_param
import time:       122 |        122 |           anthropic.types.search_result_block_param
import time:       222 |        222 |           anthropic.types.tool_reference_block_param
import time:       225 |        567 |         anthropic.types.tool_result_block_param
import time:       117 |        117 |         anthropic.types.server_tool_use_block_param
import time:        86 |         86 |         anthropic.types.container_upload_block_param
import time:        83 |         83 |         anthropic.types.redacted_thinking_block_param
import time:        92 |         92 |           anthropic.types.web_fetch_block_param
import time:        89 |         89 |           anthropic.types.web_fetch_tool_result_error_block_param
import time:       109 |        289 |         anthropic.types.web_fetch_tool_result_block_param
import time:        91 |         91 |             anthropic.types.web_search_result_block_param
import time:        78 |         78 |             anthropic.types.web_search_tool_request_error_param
import time:        92 |        259 |           anthropic.types.web_search_tool_result_block_param_content_param
import time:       112 |        371 |         anthropic.types.web_search_tool_result_block_param
